Configuration,small
Matrix Dimension,6
Cycles,128408
Instructions Retired,91127
Instructions Retired / Cycles,0.709668
Fetch Wait / Instruction Retired,0
Taken Conditional Branches / Conditional Branches,-nan
,
,
,
,
,
,
Configuration,opentitan_4096
Matrix Dimension,6
Cycles,96633
Instructions Retired,91127
LSU Busy,1
Fetch Wait,5505
Loads,12250
Stores,2122
Jumps,469
Conditional Branches,11732
Taken Conditional Branches,4020
Instructions Retired / Cycles,0.943022
Fetch Wait / Instruction Retired,0.0604102
Taken Conditional Branches / Conditional Branches,0.342653
,
,
,
,
,
,
Configuration,opentitan_8192
Matrix Dimension,6
Cycles,95864
Instructions Retired,91127
LSU Busy,1
Fetch Wait,4736
Loads,12250
Stores,2122
Jumps,469
Conditional Branches,11732
Taken Conditional Branches,4020
Instructions Retired / Cycles,0.950586
Fetch Wait / Instruction Retired,0.0519714
Taken Conditional Branches / Conditional Branches,0.342653
,
,
,
,
,
,
Configuration,maxperf
Matrix Dimension,6
Cycles,94943
Instructions Retired,91127
LSU Busy,1
Fetch Wait,3815
Loads,12250
Stores,2122
Jumps,469
Conditional Branches,11732
Taken Conditional Branches,4020
Instructions Retired / Cycles,0.959807
Fetch Wait / Instruction Retired,0.0418647
Taken Conditional Branches / Conditional Branches,0.342653
,
,
,
,
,
,
Configuration,maxperf_with_cache_4096
Matrix Dimension,6
Cycles,96101
Instructions Retired,91127
LSU Busy,1
Fetch Wait,4973
Loads,12250
Stores,2122
Jumps,469
Conditional Branches,11732
Taken Conditional Branches,4020
Instructions Retired / Cycles,0.948242
Fetch Wait / Instruction Retired,0.0545722
Taken Conditional Branches / Conditional Branches,0.342653
,
,
,
,
,
,
Configuration,maxperf_with_cache_8192
Matrix Dimension,6
Cycles,95290
Instructions Retired,91127
LSU Busy,1
Fetch Wait,4162
Loads,12250
Stores,2122
Jumps,469
Conditional Branches,11732
Taken Conditional Branches,4020
Instructions Retired / Cycles,0.956312
Fetch Wait / Instruction Retired,0.0456725
Taken Conditional Branches / Conditional Branches,0.342653
,
,
,
,
,
,
Configuration,maxperf-pmp-bmfull
Matrix Dimension,6
Cycles,95617
Instructions Retired,91127
LSU Busy,1
Fetch Wait,4489
Loads,12250
Stores,2122
Jumps,469
